country,year,percentage,source
China w/o US,1996,1.43,CS Growth
China w/o US,1997,1.73,CS Growth
China w/o US,1998,1.61,CS Growth
China w/o US,1999,1.9,CS Growth
China w/o US,2000,2.45,CS Growth
China w/o US,2001,2.49,CS Growth
China w/o US,2002,3.15,CS Growth
China w/o US,2003,3.9,CS Growth
China w/o US,2004,4.55,CS Growth
China w/o US,2005,5.19,CS Growth
China w/o US,2006,6.23,CS Growth
China w/o US,2007,7.02,CS Growth
China w/o US,2008,8.26,CS Growth
China w/o US,2009,9.81,CS Growth
China w/o US,2010,11.62,CS Growth
China w/o US,2011,13.79,CS Growth
China w/o US,2012,15.87,CS Growth
China w/o US,2013,18.51,CS Growth
China w/o US,2014,21.01,CS Growth
China w/o US,2015,22.51,CS Growth
China w/o US,2016,24.18,CS Growth
China w/o US,2017,25.47,CS Growth
China w/o US,2018,28.46,CS Growth
China w/o US,2019,31.15,CS Growth
China w/o US,2020,30.35,CS Growth
China w/o US,2021,34.72,CS Growth
China w/o US,2022,39.5,CS Growth
US w/o China,1996,22.57,CS Growth
US w/o China,1997,21.83,CS Growth
US w/o China,1998,22.36,CS Growth
US w/o China,1999,23.52,CS Growth
US w/o China,2000,23.17,CS Growth
US w/o China,2001,22.96,CS Growth
US w/o China,2002,23.51,CS Growth
US w/o China,2003,24.92,CS Growth
US w/o China,2004,24.57,CS Growth
US w/o China,2005,25.28,CS Growth
US w/o China,2006,24.97,CS Growth
US w/o China,2007,24.53,CS Growth
US w/o China,2008,22.29,CS Growth
US w/o China,2009,21.42,CS Growth
US w/o China,2010,19.88,CS Growth
US w/o China,2011,19.52,CS Growth
US w/o China,2012,17.74,CS Growth
US w/o China,2013,16.56,CS Growth
US w/o China,2014,15,CS Growth
US w/o China,2015,13.32,CS Growth
US w/o China,2016,13.35,CS Growth
US w/o China,2017,12.89,CS Growth
US w/o China,2018,12.52,CS Growth
US w/o China,2019,11,CS Growth
US w/o China,2020,11.7,CS Growth
US w/o China,2021,10.66,CS Growth
US w/o China,2022,8.91,CS Growth
USA alone,1996,21.91,CS Growth
USA alone,1997,21.15,CS Growth
USA alone,1998,21.54,CS Growth
USA alone,1999,22.68,CS Growth
USA alone,2000,22.46,CS Growth
USA alone,2001,21.91,CS Growth
USA alone,2002,22.58,CS Growth
USA alone,2003,23.88,CS Growth
USA alone,2004,23.51,CS Growth
