"","atomic_number","element","symbol","atomic_weight","period","group","phase","most_stable_crystal","type","ionic_radius","atomic_radius","electronegativity","first_ionization_potential","density","melting_point_k","boiling_point_k","isotopes","discoverer","year_of_discovery","specific_heat_capacity","display_row","display_column","year","percentage","chemical"
"1",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,1996,68.1979623052394,"Organometallic"
"2",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,1997,68.3743385920851,"Organometallic"
"3",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,1998,69.7941283956633,"Organometallic"
"4",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,1999,66.0985867279574,"Organometallic"
"5",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2000,80.1805769654261,"Organometallic"
"6",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2001,81.6844472085347,"Organometallic"
"7",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2002,83.5827216261999,"Organometallic"
"8",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2003,84.4411831113118,"Organometallic"
"9",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2004,84.5541003699753,"Organometallic"
"10",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2005,86.0359341057205,"Organometallic"
"11",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2006,86.8634056702835,"Organometallic"
"12",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2007,87.6885464189823,"Organometallic"
"13",1,"Hydrogen","H",1.00794,1,1,"gas","","Nonmetal",0.012,0.79,2.2,13.5984,8.988e-05,14.175,20.28,3,"Cavendish",1766,14.304,1,1,2008,76.3362800772789,"Organometallic"
