"","Country","Year","Value","source","iso3c"
"127473","CHINaOPb",1996,0.00259248697275296,"FigureS-7c","CHN"
"129181","CHINaOPPdS",1996,0.00259248697275296,"FigureS-7c","CHN"
"129205","CHINaOPPdS",2020,0.00215387266304816,"FigureS-7c","CHN"
"269533","BCHINaO",2012,0.00203384315001627,"FigureS-7c","CHN"
"386575","BiCHINaO",2014,0.00170047783427143,"FigureS-7c","CHN"
"448130","CHINaSiYb",1997,0.00243837019336275,"FigureS-7c","CHN"
"577821","CHINaOS",2020,0.00646161798914448,"FigureS-7c","CHN"
"577901","CHINaOW",2016,0.00203235509308186,"FigureS-7c","CHN"
"581930","CHINaPt",2013,0.00166903112743052,"FigureS-7c","CHN"
"581931","CHINaPt",2014,0.00510143350281429,"FigureS-7c","CHN"
"585765","CHINaORuS",2012,0.00203384315001627,"FigureS-7c","CHN"
"747290","AuCHINaOPS",2005,0.00678855901520637,"FigureS-7c","CHN"
"939519","CHINaOPt",2014,0.00510143350281429,"FigureS-7c","CHN"
"945342","CHINaORe",2013,0.00166903112743052,"FigureS-7c","CHN"
"948512","CHINaOSi",2019,0.00210579514824797,"FigureS-7c","CHN"
"948668","CHINaOSn",2007,0.00218288184060596,"FigureS-7c","CHN"
"948679","CHINaOSn",2018,0.00417710944026733,"FigureS-7c","CHN"
"978346","AuCHINaO",2005,0.00226285300506879,"FigureS-7c","CHN"
"991960","CHINaO",2011,0.0019018999980981,"FigureS-7c","CHN"
"991961","CHINaO",2012,0.00203384315001627,"FigureS-7c","CHN"
"991966","CHINaO",2017,0.00192496486939113,"FigureS-7c","CHN"
"991969","CHINaO",2020,0.00215387266304816,"FigureS-7c","CHN"
"1125180","CHINaOPRuS",2007,0.00218288184060596,"FigureS-7c","CHN"
"1125186","CHINaOPRuS",2013,0.00166903112743052,"FigureS-7c","CHN"
"1501261","CHINaSiYb",1997,0.0120627261761158,"FigureS-7f_g","CHN"
"1824447","CuLuSSr",2007,0.0116036203295428,"FigureS-7f_g","RUS"
"1969618","LaOS",1998,0.0114364135407136,"FigureS-7f_g","LAO"
"1969631","LaOS",2011,0.0109039363210119,"FigureS-7f_g","LAO"
"1969635","LaOS",2015,0.00985610092647348,"FigureS-7f_g","LAO"
"1969638","LaOS",2018,0.00941265060240964,"FigureS-7f_g","LAO"
"1989292","CeCuSSr",2016,0.0190930787589499,"FigureS-7f_g","RUS"
"1989293","CeCuSSr",2017,0.00867754251995834,"FigureS-7f_g","RUS"
"2007821","EuSSrZr",2009,0.0113058224985868,"FigureS-7f_g","RUS"
"2126699","LaO",1999,0.411614195127378,"FigureS-7f_g","LAO"
"2126700","LaO",2000,0.0478297261748176,"FigureS-7f_g","LAO"
"2126702","LaO",2002,0.0232045480914259,"FigureS-7f_g","LAO"
"2126706","LaO",2006,0.0360230547550432,"FigureS-7f_g","LAO"
"2126707","LaO",2007,0.0464144813181713,"FigureS-7f_g","LAO"
"2126708","LaO",2008,0.0822755054066761,"FigureS-7f_g","LAO"
"2126709","LaO",2009,0.124364047484455,"FigureS-7f_g","LAO"
"2126711","LaO",2011,0.17446298113619,"FigureS-7f_g","LAO"
"2126713","LaO",2013,0.0115473441108545,"FigureS-7f_g","LAO"
"2126716","LaO",2016,0.00954653937947494,"FigureS-7f_g","LAO"
"2126718","LaO",2018,0.00941265060240964,"FigureS-7f_g","LAO"
"2126719","LaO",2019,0.00947508053818457,"FigureS-7f_g","LAO"
"2201813","CuSSrTb",2017,0.00867754251995834,"FigureS-7f_g","RUS"
"2202541","CuSSrTm",2017,0.00867754251995834,"FigureS-7f_g","RUS"
"2221469","CuSSrYb",2017,0.00867754251995834,"FigureS-7f_g","RUS"
